日期,hs300_close,hs300_ret,hs300_turnover_log,hs300_amplitude,hs300_turnover_rate,csi_close,csi_ret,csi_turnover_log,csi_amplitude,margin_total,douyin_search,turnover_heat_z,turnover_rate_heat_z,price_accel_z,amplitude_heat_z,margin_heat_z,search_heat_z,crowding_z,escape_index_0_100,escape_signal,escape_level
2015-06-11,5306.59,-0.0004746558274361101,27.216391443189032,1.53,1.19,7891.57,0.009980047583761031,28.169172501978316,1.59,22149.3,,0.824,-0.394,-0.163,-1.06,1.69,,0.433,60.66,0,警惕
2015-06-12,5335.12,0.005376333954573376,27.26604491648042,1.29,1.31,7984.43,0.011766986797304035,28.252663698536487,1.53,22296.899999999998,,1.09,0.062,-0.043,-1.112,1.684,,0.631,65.28,0,警惕
2015-06-15,5221.17,-0.02135846991257928,27.36475831132344,2.91,1.44,7830.24,-0.01931133468513102,28.28664193420218,2.6,22404.0,,1.346,0.542,-1.295,-0.319,1.671,,0.627,65.18,0,警惕
2015-06-16,5064.82,-0.029945395380728934,27.202577818098217,3.62,1.25,7549.98,-0.03579200637528357,28.124778751089853,3.42,22476.7,,0.587,-0.185,-1.635,0.155,1.652,,0.216,55.39,0,相对安全
2015-06-17,5138.83,0.014612562736681767,27.103165241226826,4.13,1.21,7686.79,0.018120577802855253,28.0217831126084,4.97,22617.6,,0.106,-0.339,0.459,0.734,1.645,,0.485,61.89,0,警惕
2015-06-18,4930.55,-0.040530626621234744,27.043398597747018,3.79,1.11,7411.91,-0.03576005068435595,27.97231998902886,3.88,22728.0,,-0.157,-0.7,-1.634,0.235,1.632,,-0.098,47.56,0,相对安全
2015-06-19,4637.05,-0.059526827635862145,26.976343549277072,5.59,1.09,6943.04,-0.06325899801805468,27.843023457738248,5.28,22657.0,,-0.626,-0.77,-2.126,1.136,1.592,,-0.279,43.07,0,相对安全
2015-06-23,4786.09,0.03214112420612247,27.009234346296967,7.15,1.11,7048.74,0.015223878877264063,27.852242389131874,6.87,22504.2,,-0.549,-0.7,0.908,1.833,1.539,,0.357,58.84,0,相对安全
2015-06-24,4880.13,0.019648606691474724,27.145496189652963,2.91,1.32,7195.78,0.02086046584212209,27.989325453323584,2.93,22111.100000000002,,0.064,0.076,0.797,-0.532,1.449,,0.514,62.56,0,警惕
2015-06-25,4706.52,-0.03557487198086928,27.185118941362067,5.16,1.35,6932.39,-0.036603398102776796,28.034115268085362,5.3,21879.2,,0.251,0.189,-1.124,0.724,1.388,,0.291,57.24,0,相对安全
2015-06-26,4336.19,-0.07868446325522904,27.14156466741875,7.89,1.36,6377.07,-0.08010512968831829,27.869249720037303,5.98,21287.0,,-0.279,0.225,-2.455,1.764,1.266,,-0.047,48.82,0,相对安全
2015-06-29,4191.55,-0.03335647192581492,27.280064858868187,10.38,1.6,6044.16,-0.052204225451500386,28.005427415026933,10.12,20882.100000000002,,0.382,1.119,-1.139,2.843,1.176,,0.633,65.32,0,警惕
2015-06-30,4473.0,0.06714699812718439,27.29701000283534,10.97,1.6,6374.83,0.05470900836509962,28.080158171506074,11.35,20491.8,,0.589,1.082,2.062,2.54,1.088,,1.235,77.47,1,强警戒
2015-07-01,4253.02,-0.04917952157388772,27.158342868051523,6.49,1.31,6038.69,-0.05272924925056832,27.98250669898453,7.27,20350.7,,-0.052,-0.067,-1.23,0.821,1.046,,0.052,51.31,0,相对安全
2015-07-02,4108.0,-0.03409812321597372,27.109314315497137,7.34,1.39,5725.83,-0.0518092500194578,27.828185867515757,7.05,19835.0,,-0.61,0.24,-0.908,0.852,0.934,,0.024,50.6,0,相对安全
2015-07-03,3885.92,-0.05406037000973707,27.011527419469274,9.22,1.3,5390.68,-0.05853299870935735,27.718499437110353,8.49,19096.5,,-1.156,-0.109,-1.174,1.374,0.776,,-0.257,43.62,0,相对安全
2015-07-06,3998.54,0.028981553917733827,27.381992986242206,9.93,1.97,5353.86,-0.006830307122663637,28.016365682029924,11.39,17698.7,,0.606,2.372,0.75,1.753,0.472,,1.113,75.27,1,强警戒
2015-07-07,3928.0,-0.01764143912528071,27.402818092612957,5.43,2.06,5145.51,-0.03891584763142841,27.673799988058907,3.88,16229.599999999999,,-0.284,2.524,-0.32,-0.299,0.125,,0.513,62.54,0,警惕
2015-07-08,3663.04,-0.06745417515274954,27.18492524326764,3.83,1.76,4900.42,-0.0476318188090199,27.71813796618326,2.63,14463.0,,-0.771,1.4,-1.062,-0.815,-0.337,,-0.177,45.58,0,相对安全
